trial,list_id,item_id,within_list_pos,train_id,within_train_pos,is_boundary,reward,expected_value,outcome_rpe,abs_outcome_rpe,encoding_drift,recall_prob,recalled,hypothesis,subject_id
0,0,0,0,0,0,0,46.2,50.0,-3.8,3.8,0.5057,0.634004,0,baseline,0
1,0,1,1,0,1,0,29.24,48.86,-19.62,19.62,0.52943,0.637014,1,baseline,0
2,0,2,2,0,2,0,53.25,42.974,10.276,10.276,0.515414,0.635019,1,baseline,0
3,0,3,3,0,3,0,47.65,46.0568,1.5932,1.5932,0.5023898,0.623196,0,baseline,0
4,0,4,4,0,4,0,83.96,46.5348,37.4252,37.4252,0.5561378,0.654818,1,baseline,0
5,0,5,5,0,5,0,63.92,57.7623,6.1577,6.1577,0.50923655,0.646013,0,baseline,0
6,0,6,6,1,0,1,50.55,59.6096,-9.0596,9.0596,0.7635894,0.717715,1,baseline,0
7,0,7,7,1,1,0,41.32,56.8917,-15.5717,15.5717,0.52335755,0.634585,1,baseline,0
8,0,8,8,1,2,0,72.64,52.2202,20.4198,20.4198,0.5306297,0.633978,1,baseline,0
9,0,9,9,1,3,0,40.05,58.3462,-18.2962,18.2962,0.5274443,0.639065,1,baseline,0
10,0,10,10,1,4,0,53.96,52.8573,1.1027,1.1027,0.50165405,0.634211,1,baseline,0
11,0,11,11,1,5,0,61.83,53.1881,8.6419,8.6419,0.51296285,0.637187,1,baseline,0
12,0,12,12,2,0,1,47.95,55.7807,-7.8307,7.8307,0.76174605,0.740071,1,baseline,0
13,0,13,13,2,1,0,39.42,53.4315,-14.0115,14.0115,0.52101725,0.624932,0,baseline,0
14,0,14,14,2,2,0,50.05,49.228,0.822,0.822,0.501233,0.613187,1,baseline,0
15,0,15,15,2,3,0,64.71,49.4746,15.2354,15.2354,0.5228531,0.635649,1,baseline,0
16,0,16,16,2,4,0,82.46,54.0452,28.4148,28.4148,0.5426222,0.646774,1,baseline,0
